,Rank,Artist,Song,Year
5143,40,Truth Hurts feat. Rakim,Addictive,2002
5144,41,Ashanti,Happy,2002
5145,42,John Mayer,No Such Thing,2002
5146,43,Pink,Just Like a Pill,2002
5147,44,"Irv Gotti Presents The Inc. feat. Ja Rule, Ashanti, Charli Baltimore and Vita",Down 4 U,2002
5148,45,Kylie Minogue,Can’t Get You Out Of My Head,2002
5149,46,Five For Fighting,Superman (It’s not Easy),2002
5150,47,Eminem,Cleanin’ out my Closet,2002
5151,48,Musiq,Halfcrazy,2002
5152,49,Mr. Cheeks,"Lights, Camera, Action!",2002
5153,50,Big Tymers,Still Fly,2002
5154,51,Alicia Keys,A Woman’s Worth,2002
5155,52,Craig David,7 Days,2002
5156,53,"Cam’ron feat. Juelz Santana, Freekey Zekey and Toya",Hey Ma,2002
5157,54,Missy “Misdemeanor” Elliott,Work It,2002
5158,55,Ludacris feat. Mystikal and Infamous 2.0,Move Bitch,2002
5159,56,LeAnn Rimes,Can’t Fight the Moonlight,2002
5160,57,Enrique Iglesias,Escape,2002
5161,58,Aaliyah,More than a Woman,2002
5162,59,No Doubt,Hello Good,2002
5163,60,Faith Evans,I Love You,2002
5164,61,Daniel Bedingfield,Gotta Get Thru This,2002
5165,62,Busta Rhymes feat. P. Diddy and Pharrell,Pass the Courvoisier Part II,2002
5166,63,Eminem,Lose Yourself,2002
5167,64,Michael Jackson,Butterflies,2002
5168,65,Brandy,What About Us?,2002
5169,66,Shakira,Underneath your Clothes,2002
5170,67,Mary J. Blige feat. Ja Rule,Rainy Dayz,2002
5171,68,Ginuwine,Differences,2002
5172,69,Angie Martinez feat. Lil’ Mo and Sacario,If I could Go!,2002
5173,70,OutKast feat. Killer Mike,The Whole World,2002
5174,71,No Doubt feat. Lady Saw,Underneath it All,2002
5175,72,City High feat. Eve,Caramel,2002
5176,73,LL Cool J,Luv U Better,2002
5177,74,Sean Paul,Gimme the Light,2002
5178,75,‘N Sync,Gone,2002
5179,76,Ja Rule feat. Case,Livin’ it Up,2002
5180,77,Ludacris,Roll Out (My Business),2002
5181,78,Goo Goo Dolls,Here is Gone,2002
5182,79,Mary J. Blige,No More Drama,2002
5183,80,Dirty Vegas,Days go By,2002
5184,81,Ashanti,Baby,2002
5185,82,Kenny Chesney,The Good Stuff,2002
5186,83,Fat Joe feat. R. Kelly,We Thuggin’,2002
5187,84,Steve Holy,Good Morning Beautiful,2002
5188,85,Aaliyah,Rock the Boat,2002
5189,86,Alan Jackson,Drive (For Daddy Gene),2002
5190,87,Jewel,Standing Still,2002
5191,88,Jaheim feat. Next,Anything,2002
5192,89,Brandy,Full Moon,2002
5193,90,B2K,Uh Huh,2002
5194,91,Celine Dion,A New Day has Come,2002
5195,92,Nelly Furtado,Turn Off the Light,2002
5196,93,George Strait,Living and Living Well,2002
5197,94,Toby Keith,My List,2002
5198,95,Alanis Morissette,Hands Clean,2002
5199,96,Avril Lavigne,Sk8er Boi,2002
5200,97,Dixie Chicks,Long Time Gone,2002
5201,98,Alan Jackson,Where Were You (When the World Stopped Turning),2002
5202,99,Justin Timberlake,Like I Love You,2002
5203,100,Toya,I Do!!,2002
5204,1,50 Cent,In Da Club,2003
5205,2,R. Kelly,Ignition,2003
5206,3,Sean Paul,Get Busy,2003
5207,4,Beyonce feat. Jay-Z,Crazy in Love,2003
5208,5,3 Doors Down,When I’m Gone,2003
5209,6,matchbox twenty,Unwell,2003
5210,7,Chingy,Right Thurr,2003
5211,8,Aaliyah,Miss You,2003
5212,9,Kid Rock feat. Sheryl Crow,Picture,2003
5213,10,Evanescence feat. Paul McCoy,Bring me to Life,2003
5214,11,Lil Jon and The East Side Boyz feat. Ying Yang Twins,Get Low,2003
5215,12,Beyonce feat. Sean Paul,Baby Boy,2003
5216,13,"Nelly, P. Diddy and Murphy Lee",Shake ya Tailfeather,2003
5217,14,50 Cent feat. Nate Dogg,21 Questions,2003
5218,15,Jennifer Lopez feat. LL Cool J,All I Have,2003
5219,16,Christina Aguilera,Beautiful,2003
5220,17,Busta Rhymes and Mariah Carey feat. The Flipmode Squad,I Know what you Want,2003
5221,18,Avril Lavigne,I’m with You,2003
5222,19,Uncle Kracker feat. Dobie Gray,Drift Away,2003
5223,20,Lil’ Kim feat. 50 Cent,Magic Stick,2003
5224,21,50 Cent,P.I.M.P.,2003
5225,22,B2K and P. Diddy,"Bump, Bump, Bump",2003
5226,23,Fabolous feat. Tamia Or Ashanti,Into You,2003
5227,24,Fabolous feat. Mike Shorey and Lil’ Mo,Can’t let you Go,2003
5228,25,Ja Rule feat. Ashanti,Mesmerize,2003
5229,26,Black Eyed Peas,Where is the Love?,2003
5230,27,Santana feat. Michelle Branch,The Game of Love,2003
5231,28,Eminem,Lose Yourself,2003
5232,29,Ashanti,Rock wit U (Awww Baby),2003
5233,30,Justin Timberlake,Cry me a River,2003
5234,31,Tyrese,How you Gonna Act Like That,2003
5235,32,Justin Timberlake,Rock your Body,2003
5236,33,Wayne Wonder,No Letting Go,2003
5237,34,Pharrell feat. Jay-Z,Frontin’,2003
5238,35,Dixie Chicks,Landslide,2003
5239,36,Missy “Misdemeanor” Elliott,Work It,2003
5240,37,Jay-Z feat. Beyonce Knowles,’03 Bonnie & Clyde,2003
5241,38,Nivea feat. Brian and Brandon Casey,Don’t Mess with my Man,2003
5242,39,Monica,So Gone,2003
5243,40,"Nelly feat. Kyjuan, Ali and Murphy Lee",Air Force Ones,2003
5244,41,Lumidee,"Never Leave You – Uh Ooh, Uh Oooh!",2003
5245,42,Snoop Dogg feat. Pharrell and Uncle Charlie Wilson,Beautiful,2003
5246,43,Missy “Misdemeanor” Elliott feat. Ludacris,Gossip Folks,2003
5247,44,Kelly Clarkson,Miss Independent,2003
5248,45,Train,Calling All Angels,2003
5249,46,YoungBloodZ feat. Lil Jon,Damn!,2003
5250,47,Clay Aiken,This is the Night,2003
5251,48,John Mayer,Your Body is a Wonderland,2003
5252,49,Trapt,Headstrong,2003
5253,50,Ginuwine,In those Jeans,2003
5254,51,Ludacris feat. Shawnna,Stand Up,2003
5255,52,Jason Mraz,The Remedy (I won’t Worry),2003
5256,53,Santana feat. Alex Band Or Chad Kroeger,Why Don’t You & I,2003
5257,54,Jay-Z,Excuse Me Miss,2003
5258,55,Jennifer Lopez feat. Styles and Jadakiss,Jenny from the Block,2003
5259,56,Michelle Branch,Are you Happy Now?,2003
5260,57,Shania Twain,Forever and for Always,2003
5261,58,Nas,I Can,2003
5262,59,No Doubt feat. Lady Saw,Underneath it All,2003
5263,60,Daniel Bedingfield,If you’re not the One,2003
5264,61,R. Kelly,Thoia Thoing,2003
5265,62,3 Doors Down,Here without You,2003
5266,63,50 Cent,Wanksta,2003
5267,64,Mya,My Love is Like… Wo,2003
5268,65,Alan Jackson and Jimmy Buffett,It’s Five O’Clock Somewhere,2003
5269,66,Sean Paul,Like Glue,2003
5270,67,Christina Aguilera feat. Lil’ Kim,Can’t Hold us Down,2003
5271,68,Lonestar,My Front Porch Looking In,2003
5272,69,Amanda Perez,Angel,2003
5273,70,Puddle Of Mudd,She Hates Me,2003
5274,71,Frankie J,Don’t Wanna Try,2003
5275,72,Lil’ Kim feat. Mr. Cheeks,The Jump Off,2003
5276,73,Jewel,Intuition,2003
5277,74,Ginuwine feat. Baby,Hell Yeah,2003
5278,75,Toby Keith Duet With Willie Nelson,Beer for my Horses,2003
5279,76,Chingy feat. Ludacris and Snoop Dogg,Holidae In,2003
5280,77,Baby Bash feat. Frankie J,Suga Suga,2003
5281,78,Erykah Badu feat. Common,Love of my Life (An Ode to Hip Hop),2003
5282,79,Christina Aguilera,Fighter,2003
5283,80,2Pac,Thugz Mansion,2003
5284,81,Coldplay,Clocks,2003
5285,82,Jaheim,Put that Woman First,2003
5286,83,Ashanti,Rain on Me,2003
5287,84,Mark Wills,19 Somethin’,2003
5288,85,Young Gunz,"Can’t Stop, Won’t Stop",2003
5289,86,Brooks and Dunn,Red Dirt Road,2003
5290,87,Dierks Bentley,What was I Thinkin’,2003
5291,88,Ruben Studdard,Flying without Wings,2003
5292,89,Eminem,Sing for the Moment,2003
5293,90,Darryl Worley,Have you Forgotten?,2003
5294,91,Kenny Chesney,"No Shoes, No Shirt, No Problems",2003
5295,92,Aaliyah,Come Over,2003
5296,93,Field Mob,Sick of Being Lonely,2003
5297,94,R. Kelly,Step in the Name of Love,2003
5298,95,Thalia feat. Fat Joe,I Want You,2003
5299,96,Audioslave,Like a Stone,2003
5300,97,Norah Jones,Don’t know Why,2003
5301,98,Eminem,Superman,2003
5302,99,Tim McGraw,Real Good Man,2003
5303,100,Floetry,Say Yes,2003
5304,1,Usher feat. Lil Jon and Ludacris,Yeah!,2004
5305,2,Usher,Burn,2004
5306,3,Alicia Keys,If I Ain’t Got You,2004
5307,4,Maroon5,This Love,2004
5308,5,OutKast feat. Sleepy Brown,The Way You Move,2004
5309,6,Hoobastank,The Reason,2004
5310,7,Mario Winans feat. Enya and P. Diddy,I Don’t Wanna Know,2004
5311,8,OutKast,Hey Ya!,2004
5312,9,Ciara feat. Petey Pablo,Goodies,2004
5313,10,Terror Squad,Lean Back,2004
5314,11,J-Kwon,Tipsy,2004
5315,12,Usher,Confessions Part II,2004
5316,13,Juvenile feat. Soulja Slim,Slow Motion,2004
5317,14,Petey Pablo,Freek-a-Leek,2004
5318,15,3 Doors Down,Here Without You,2004
5319,16,Twista feat. Kanye West and Jamie Foxx,Slow Jamz,2004
5320,17,Nickelback,Someday,2004
5321,18,Beyonce,Naughty Girl,2004
5322,19,Evanescence,My Immortal,2004
5323,20,Lil’ Flip feat. Lea,Sunshine,2004
5324,21,Jay-Z,Dirt Off Your Shoulder,2004
5325,22,Nina Sky feat. Jabba,Move Ya Body,2004
5326,23,Christina Milian,Dip It Low,2004
5327,24,Usher And Alicia Keys,My Boo,2004
5328,25,Chingy feat. J. Weav,One Call Away,2004
5329,26,Beyonce,"Me, Myself, and I",2004
5330,27,Kevin Lyttle feat. Spragga Benz,Turn Me On,2004
5331,28,Sheryl Crow,The First Cut Is The Deepest,2004
5332,29,Alicia Keys,You Don’t Know My Name,2004
5333,30,Nelly feat. Jaheim,My Place,2004
5334,31,Twista,Overnight Celebrity,2004
5335,32,Cassidy feat. R. Kelly,Hotel,2004
5336,33,Linkin Park,Numb,2004
5337,34,Alicia Keys feat. Tony! Toni! Tone!,Diary,2004
5338,35,Maroon 5,She Will be Loved,2004
5339,36,Dido,White Flag,2004
5340,37,Los Lonely Boys,Heaven,2004
5341,38,No Doubt,It’s My Life,2004
5342,39,Ashlee Simpson,Pieces of Me,2004
5343,40,JoJo,Leave (Get Out),2004
5344,41,Kelis,Milkshake,2004
5345,42,Ludacris,Splash Waterfalls,2004
5346,43,Kanye West,Jesus Walks,2004
5347,44,Akon feat. Styles P.,Locked Up,2004
5348,45,Ludacris feat. Shawnna,Stand Up,2004
5349,46,Baby Bash feat. Frankie J,Suga Suga,2004
5350,47,Kanye West feat. Syleena Johnson,All Falls Down,2004
5351,48,Britney Spears,Toxic,2004
5352,49,Ying Yang Twins feat. Lil Jon and The East Side Boyz,Salt Shaker,2004
5353,50,Jessica Simpson,With You,2004
5354,51,Switchfoot,Meant to Live,2004
5355,52,"Houston feat. Chingy, Nate Dogg and I-20",I Like That,2004
5356,53,Ruben Studdard,Sorry 2004,2004
5357,54,Avril Lavigne,My Happy Ending,2004
5358,55,Lloyd Banks,On Fire,2004
5359,56,OutKast,Roses,2004
5360,57,Jagged Edge,Walker outta Heaven,2004
5361,58,Destiny’s Child,Lose My Breath,2004
5362,59,D12,My Band,2004
5363,60,Sean Paul feat. Sasha,I’m Still in Love with You,2004
5364,61,Kanye West,Through the Wire,2004
5365,62,Jadakiss feat. Anthony Hamilton,Why?,2004
5366,63,Eamon,F**k It (I Don’t Want you Back),2004
5367,64,Avant,Read your Mind,2004
5368,65,Lil’ Flip,Game Over (Flip),2004
5369,66,Finger Eleven,One Thing,2004
5370,67,LL Cool J,Headsprung,2004
5371,68,YoungBloodZ feat. Lil Jon,Damn!,2004
5372,69,Beyonce feat. Sean Paul,Baby Boy,2004
5373,70,Lil Jon and The East Side Boyz feat. Ying Yang Twins,Get Low,2004
5374,71,Snoop Dogg feat. Pharrell,Drop it Like it’s Hot,2004
5375,72,Monica,U Should’ve Known Better,2004
5376,73,Ryan Cabrera,On the Way Down,2004
5377,74,Kelly Clarkson,Breakaway,2004
5378,75,Santana feat. Alex Band Or Chad Kroeger,Why Don’t you & I,2004
5379,76,Jet,Are You Gonna Be My Girl,2004
5380,77,Five For Fighting,100 Years,2004
5381,78,R. Kelly,Step In The Name Of Love,2004
5382,79,Linkin Park,Breaking the Habit,2004
5383,80,Nick Cannon feat. R. Kelly,Gigolo,2004
5384,81,Tim McGraw,Live Like You Were Dying,2004
5385,82,Alan Jackson,Remember When,2004
5386,83,Britney Spears,Everytime,2004
5387,84,Lloyd feat. Ashanti,Southside,2004
5388,85,Beenie Man feat. Ms. Thing,Dude,2004
5389,86,G-Unit feat. Joe,Wanna Get To Know You,2004
5390,87,Chingy feat. Ludacris and Snoop Dogg,Holidae In,2004
5391,88,Black Eyed Peas,Let’s Get It Started,2004
5392,89,Kenny Chesney and Uncle Kracker,When the Sun Goes Down,2004
5393,90,Toby Keith,American Soldier,2004
5394,91,Jay-Z,Change Clothes,2004
5395,92,Avril Lavigne,Don’t Tell Me,2004
5396,93,Keith Urban,You’ll Think of Me,2004
5397,94,R. Kelly,Happy People,2004
5398,95,Black Eyed Peas,Hey Mama,2004
5399,96,Nelly feat. Tim McGraw,Over and Over,2004
5400,97,Gretchen Wilson,Redneck Woman,2004
5401,98,Eminem,Just Lose It,2004
5402,99,John Michael Montgomery,Letters from Home,2004
5403,100,Kenny Chesney,I Go Back,2004
5404,1,Mariah Carey,We Belong Together,2005
5405,2,Gwen Stefani,Hollaback Girl,2005
5406,3,Mario,Let Me Love You,2005
5407,4,Kelly Clarkson,Since U Been Gone,2005
5408,5,Ciara feat. Missy Elliott,"1, 2 Step",2005
5409,6,Kanye West feat. Jamie Foxx,Gold Digger,2005
5410,7,Green Day,Boulevard of Broken Dreams,2005
5411,8,50 Cent feat. Olivia,Candy Shop,2005
5412,9,The Pussycat Dolls feat. Busta Rhymes,Don’t Cha,2005
5413,10,Kelly Clarkson,Behind These Hazel Eyes,2005
5414,11,50 Cent,Disco Inferno,2005
5415,12,Lifehouse,You and Me,2005
5416,13,The Black Eyed Peas,Don’t Phunk With My Heart,2005
5417,14,Missy Elliott feat. Ciara and Fat Man Scoop,Lose Control,2005
5418,15,Mariah Carey,Shake it Off,2005
5419,16,The Killers,Mr. Brightside,2005
5420,17,50 Cent,Just a Lil Bit,2005
5421,18,Rihanna,Pon de Replay,2005
5422,19,The Game feat. 50 Cent,How We Do,2005
5423,20,Weezer,Beverly Hills,2005
5424,21,Ciara feat. Ludacris,Oh,2005
5425,22,Rob Thomas,Lonely No More,2005
5426,23,Snoop Dogg feat. Pharrell,Drop it Like It’s Hot,2005
5427,24,The Game feat. 50 Cent,Hate It or Love It,2005
5428,25,Lil Jon and The East Side Boyz feat. Usher and Ludacris,Lovers and Friends,2005
5429,26,Destiny’s Child feat. T.I. and Lil Wayne,Soldier,2005
5430,27,Kelly Clarkson,Breakaway,2005
5431,28,Will Smith,Switch,2005
5432,29,Bow Wow feat. Omarion,Let Me HOld You,2005
5433,30,Bow Wow feat. Ciara,Like You,2005
5434,31,Gwen Stefani feat. Eve,Rich Girl,2005
5435,32,The Black Eyed Peas,My Humps,2005
5436,33,Frankie J feat. Baby Bash,Obsession (No Es Amor),2005
5437,34,Usher,Caught Up,2005
5438,35,D.H.T.,Listen to your Heart,2005
5439,36,Papa Roach,Scars,2005
5440,37,Gorillaz,Feel Good Inc,2005
5441,38,3 Doors Down,Let Me Go,2005
5442,39,Green Day,Holiday,2005
5443,40,Fall Out Boy,"Sugar, we’re Goin’ Down",2005
5444,41,Pretty Ricky,Grind With Me,2005
5445,42,Chris Brown,Run It!,2005
5446,43,Nickelback,Photograph,2005
5447,44,Akon,Lonely,2005
5448,45,Howie Day,Collide,2005
5449,46,Green Day,Wake Me up When September Ends,2005
5450,47,Bobby Valentino,Slow Down,2005
5451,48,Nelly feat. Tim McGraw,Over and Over,2005
5452,49,Trillville feat. Cutty,Some Cut,2005
5453,50,Fat Joe feat. Nelly,Get it Poppin’,2005
5454,51,David Banner,Play,2005
5455,52,Young Jeezy feat. Akon,Soul Survivor,2005
5456,53,Ludacris feat. Bobby Valentino,Pimpin’ All Over the World,2005
5457,54,Usher And Alicia Keys,My Boo,2005
5458,55,"Trick Daddy feat. Ludacris, Lil’ Kim and Cee-Lo",Sugar (Gimme Some),2005
5459,56,Alicia Keys,Karma,2005
5460,57,Coldplay,Speed of Sound,2005
5461,58,Gavin DeGraw,I Don’t Want to Be,2005
5462,59,Eminem,Mockingbird,2005
5463,60,Shakira feat. Alejandro Sanz,La Tortura,2005
5464,61,Maroon5,She Will be Loved,2005
5465,62,Baby Bash feat. Akon,Baby I’m Back,2005
5466,63,Ying Yang Twins,Wait (The Whisper Song),2005
5467,64,Backstreet Boys,Incomplete,2005
5468,65,T.I.,Bring em Out,2005
5469,66,Destiny’s Child,Cater 2 U,2005
5470,67,Amerie,1 Thing,2005
5471,68,Foo Fighters,Best of You,2005
5472,69,Mariah Carey,It’s Like That,2005
5473,70,Natalie,Goin’ Crazy,2005
5474,71,Carrie Underwood,Inside your Heaven,2005
5475,72,Kelly Clarkson,Because of You,2005
5476,73,Fantasia,Truth Is,2005
5477,74,Pretty Ricky,Your Body,2005
5478,75,Jesse McCartney,Beautiful Soul,2005
5479,76,Gwen Stefani,Cool,2005
5480,77,Ludacris,Get Back,2005
5481,78,50 Cent feat. Mobb Deep,Outta Control (Remix),2005
5482,79,T.I.,U Don’t Know Me,2005
5483,80,Natasha Bedingfield,These Words,2005
5484,81,The Black Eyed Peas,Don’t Lie,2005
5485,82,Jennifer Lopez,Get Right,2005
5486,83,John Mayer,Daughters,2005
5487,84,Toby Keith,As Good as I Once Was,2005
5488,85,Brooke Valentine feat. Lil Jon and Big Boi,Girlfight,2005
5489,86,Destiny’s Child,Lose My Breath,2005
5490,87,John Legend,Ordinary People,2005
5491,88,Sean Paul,We Be Burnin’,2005
5492,89,The Click Five,Just the Girl,2005
5493,90,Ryan Cabrera,True,2005
5494,91,Omarion,O,2005
5495,92,Mike Jones,Back Then,2005
5496,93,Jay-Z/Linkin Park,Numb/Encore,2005
5497,94,Ja Rule feat. R. Kelly and Ashanti,Wonderful,2005
5498,95,T-Pain,I’m Sprung,2005
5499,96,Gavin DeGraw,Chariot,2005
5500,97,112 feat. Foxy Brown,U Already Know,2005
5501,98,Faith Hill,Mississippi Girl,2005
5502,99,Ludacris,Number One Spot,2005
5503,100,Webbie feat. Bun B,Give Me That,2005
5504,1,Daniel Powter,Bad Day,2006
5505,2,Sean Paul,Temperature,2006
5506,3,Nelly Furtado feat. Timbaland,Promiscuous,2006
5507,4,James Blunt,You’re Beautiful,2006
5508,5,Shakira feat. Wyclef Jean,Hips Don’t Lie,2006
5509,6,Natasha Bedingfield,Unwritten,2006
5510,7,Gnarls Barkley,Crazy,2006
5511,8,Chamillionaire feat. Krayzie Bone,Ridin’,2006
5512,9,Justin Timberlake,Sexyback,2006
5513,10,Beyonce feat. Slim Thug,Check on It,2006
5514,11,Mary J. Blige,Be without You,2006
5515,12,"Nelly feat. Paul Wall, Ali and Gipp",Grillz,2006
5516,13,The Fray,Over My Head (Cable Car),2006
5517,14,Cassie,Me & U,2006
5518,15,The Pussycat Dolls feat. Snoop Dogg,Buttons,2006
5519,16,Chris Brown,Run It!,2006
5520,17,Ne-Yo,So Sick,2006
5521,18,Yung Joc,It’s Goin’ Down,2006
5522,19,Rihanna,SOS,2006
5523,20,Panic! At The Disco,I Write Sins not Tragedies,2006
5524,21,The All-American Rejects,Move Along,2006
5525,22,Fergie,London Bridge,2006
5526,23,Red Hot Chili Peppers,Dani California,2006
5527,24,Lil Jon feat. E-40 and Sean Paul Of The YoungBloodZ,Snap Yo Fingers,2006
5528,25,Dem Franchize Boyz feat. Lil Peanut and Charlay,"Lean Wit It, Rock Wit It",2006
5529,26,Rascal Flatts,What Hurts the Most,2006
5530,27,The Fray,How to Save a Life,2006
5531,28,Rihanna,Unfaithful,2006
5532,29,Snow Patrol,Chasing Cars,2006
5533,30,Hinder,Lips of an Angel,2006
5534,31,Cascada,Everytime We Touch,2006
5535,32,Christina Aguilera,Ain’t no Other Man,2006
5536,33,Fall Out Boy,"Dance, Dance",2006
5537,34,Kanye West feat. Jamie Foxx,Gold Digger,2006
5538,35,Ludacris feat. Pharrell,Money Maker,2006
5539,36,Bubba Sparxxx feat. Ying Yang Twins and Mr. ColliPark,Ms. New Booty,2006
5540,37,Sean Paul feat. Keyshia Cole,(When You Gonna) Give It Up To Me,2006
5541,38,Nickelback,Photograph,2006
5542,39,Kelly Clarkson,Because of You,2006
5543,40,The Pussycat Dolls,Stickwitu,2006
5544,41,T-Pain feat. Mike Jones,I’n N Luv (Wit a Stripper),2006
5545,42,The Black Eyed Peas,My Humps,2006
5546,43,Fort Minor feat. Holly Brook,Where’d You Go,2006
5547,44,Chris Brown,Yo (Excuse Me Miss),2006
5548,45,Kelly Clarkson,Walk Away,2006
5549,46,D4L,Laffy Taffy,2006
5550,47,T.I.,What you Know,2006
5551,48,The All-American Rejects,Dirty Little Secret,2006
5552,49,Nickelback,Savin’ Me,2006
5553,50,Mariah Carey,Don’t Forget About Us,2006
5554,51,Ne-Yo,Sexy Love,2006
5555,52,E-40 feat. T-Pain and Kandi Girl,U and Dat,2006
5556,53,Nickelback,Far Away,2006
5557,54,Nick Lachey,What’s Left of Me,2006
5558,55,Field Mob feat. Ciara,So What,2006
5559,56,Cherish feat. Sean Paul Of The YoungBloodZ,Do it to It,2006
5560,57,KT Tunstall,Black Horse & the Cherry Tree,2006
5561,58,Juelz Santana,There it Go! (The Whistle Song),2006
5562,59,Young Dro feat. T.I.,Shoulder Lean!,2006
5563,60,Jamie Foxx feat. Ludacris,Unpredictable,2006
5564,61,Justin Timberlake feat. T.I.,My Love,2006
5565,62,Eminem feat. Nate Dogg,Shake That,2006
5566,63,Chingy feat. Tyrese,Pullin’ Me Back,2006
5567,64,Kelis feat. Too $hort,Bossy,2006
5568,65,Jibbs,Chain Hang Low,2006
5569,66,Akon feat. Eminem,Smack That,2006
5570,67,Ray J,One Wish,2006
5571,68,Fall Out Boy,Sugar We’re Goin’ Down,2006
5572,69,Chris Brown feat. Lil’ Wayne,Gimme That,2006
5573,70,Yung Joc feat. Brandy ‘Ms. B.’ Hambrick,I Know You See It,2006
5574,71,Bon Jovi,Who Says you can’t Go Home,2006
5575,72,JoJo,Too Little Too Late,2006
5576,73,Busta Rhymes,Touch It,2006
5577,74,Daddy Yankee,Rompe,2006
5578,75,Beyonce feat. Jay-Z,Deja Vu,2006
5579,76,Rascal Flatts,Life is a Highway,2006
5580,77,Evanescence,Call me When You’re Sober,2006
5581,78,Carrie Underwood,"Jesus, take the Wheel",2006
5582,79,Danity Kane,Show Stopper,2006
5583,80,Ciara feat. Chamillionaire,Get Up,2006
5584,81,Sean Paul,We be Burnin’,2006
5585,82,Blue October,Hate Me,2006
5586,83,Lifehouse,You and Me,2006
